Unique ID,User Stories
1,"As a Student, I want to browse a list of recipes, so I can make something affordable to eat"
2,"As a Student, I want to be able to share recipes, so other people can save money"
3,"As a Student, I want to be able to add my own recipes to the app, so I can use it later"
4,"As a student, I want to be able to add items to a list, so I can use it for grocery shopping"
5,"As a person on a diet, I want to be able to filter based on calorie count so that I can make sure I'm following my dietary needs."
6,"As a person with allergies, I want to be able to filter based on allergies so that I can confirm all the ingredients are safe for me."
7,"As a single mom, I want to easily find kid friendly recipes so that my children will enjoy the meals."
8,"As a student, I want to easily find quick recipes so that I can make meals before classes."
9,"As a student, I want to be able to filter based on price so that I can find meals within my budget range."
10,"As a student or someone who is on a tight budget, I would like to know the amount of food serving or recipe I can make base of from what I have available."
11,"As a user, I would like to know the ingredients I lack to be able to complete a recipe."
12,"As a user, I would like to filter out recipes that I can make with what I have available based on if it is a vegan diet or not."
13,"As a user who has a nutrient supplemental need, I would like to know the nutrients available on the filtered recipe."
14,"As a user, I would like to be able to set a schedule on the recipe I would like to cook for that day and remind me the ingredients I need to buy to complete the recipe."
15,"As a user, I would like to know the nearest store that has the ingredients I needed to complete the recipe I want to cook."
16,"As a user, I would like to be able to register to the app and create my own profile."
17,As a user I would like to favourite recipes so that I can find them quickly at another time
18,As a user I would like to see recently viewed recipes so that I can quickly navigate back to them
19,As a user I would like to hide recipes so that I can avoid recipes that I am not interested in
20,As a user I would like to search for recipe titles so that I can find a specific recipe
21,As a user I would like to search for ingredients so that I can view recipes that require that ingredient
22,As a user I would like to filter recipes by total time required (prep + cook) so that I can make meals that fit into my busy schedule
23,As a user I would like to filter recipes by complexity so that I know how difficult the recipe is to make
24,"As a user, I would like there to be YouTube linked recipes, so I have the option to watch a video instead reading"
